1Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-01-31,Madagascar,2005,https://boxd.it/CXUph,,,,2019-01-30
2019-01-31,"Fala Sério, Mãe!",2017,https://boxd.it/CXUqz,,,,2019-01-31
2019-02-03,Glass,2019,https://boxd.it/D8q1L,3,,,2019-02-01
2019-02-05,The Neon Demon,2016,https://boxd.it/DfGOX,2,,,2019-02-04
2019-02-11,Dumplin',2018,https://boxd.it/DAJlV,3,,,2019-02-09
2019-02-13,"I, Tonya",2017,https://boxd.it/DGrK1,3.5,,,2019-02-12
2019-02-13,Unbreakable,2000,https://boxd.it/DGrLX,3.5,,,2019-02-12
2019-02-14,Nocturnal Animals,2016,https://boxd.it/DIRRV,4.5,Yes,,2019-02-13
2019-02-18,The Wife,2017,https://boxd.it/DUaDb,4,,,2019-02-16
2019-02-23,Hair,1979,https://boxd.it/Ebx4d,4.5,Yes,,2019-02-22
2019-03-03,Fyre,2019,https://boxd.it/EBZBL,3,,,2019-03-02
2019-03-10,Green Book,2018,https://boxd.it/F0elB,3.5,,,2019-03-07
2019-03-12,BlacKkKlansman,2018,https://boxd.it/F80vD,5,,,2019-03-11
2019-03-23,The Favourite,2018,https://boxd.it/FF6rj,4,Yes,,2019-03-22
2019-03-23,Wanted,2008,https://boxd.it/FF6u3,3.5,,,2019-03-22
2019-03-31,Arrival,2016,https://boxd.it/G52uF,4,Yes,,2019-03-31
2019-04-09,Unicorn Store,2017,https://boxd.it/GtHcF,3.5,,,2019-04-06
2019-04-16,The Green Mile,1999,https://boxd.it/GOvXr,4.5,,,2019-04-15
2019-04-21,Replicas,2018,https://boxd.it/H1pRN,1,,,2019-04-20
2019-05-01,Captain Marvel,2019,https://boxd.it/HwUUl,2.5,,,2019-04-26
2019-05-01,Avengers: Endgame,2019,https://boxd.it/HwUVt,4,,,2019-04-29
2019-05-06,Notting Hill,1999,https://boxd.it/HMUcl,3.5,,,2019-05-04
2019-05-06,High School Musical,2006,https://boxd.it/HMUgx,2.5,,,2019-05-04
2019-05-12,Pet Sematary,2019,https://boxd.it/I4vgX,2,,,2019-05-12
2019-05-14,The Lobster,2015,https://boxd.it/I9C45,4,,,2019-05-13
2019-05-20,"Girl, Interrupted",1999,https://boxd.it/IqX79,3.5,,,2019-05-19
2019-05-20,Sex and the City,2008,https://boxd.it/IsLHj,3,,,2019-05-19
2019-05-25,Aladdin,2019,https://boxd.it/IG2FF,3,,,2019-05-25
2019-06-03,Mamma Mia!,2008,https://boxd.it/J8GKh,3.5,Yes,,2019-06-02
