Date,Name,Year,Letterboxd URI,Rating
2020-10-26,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO,3.5
2020-10-27,Talk to Her,2002,https://boxd.it/2beG,4
2020-10-27,Bohemian Rhapsody,2018,https://boxd.it/f1TK,4
2020-10-27,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,4
2020-10-29,What Have I Done to Deserve This?,1984,https://boxd.it/20t6,3.5
2020-10-29,The Flower of My Secret,1995,https://boxd.it/24we,4.5
2020-10-31,Dark Habits,1983,https://boxd.it/20tg,3
2020-10-31,La Dolce Vita,1960,https://boxd.it/2anC,3.5
2020-10-31,High Heels,1991,https://boxd.it/20sW,4
2020-11-01,Us,2019,https://boxd.it/gnV6,2.5
