Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-01-14,A Quiet Place,2018,https://boxd.it/2tGMtV,3.5,,"Sem puns, adeus roncos, um espirro e bye bye.
Nada de risadinhas, rinite, pipoca, banho de chuveiro.",,2022-01-13
2022-01-15,Mr. Deeds,2002,https://boxd.it/2tNkrV,2.5,,"Um clássico filme do gênero Adam Sandler.
Felizmente (e surpreendentemente), o par ele e Winona funciona, embora o filme esteja recheado de “piadas” nada a ver com nada.",,2022-01-14
2022-01-18,Cinderella,1899,https://boxd.it/2uJnyB,4.5,,"I loved the crazy clocks dance!
It’s very joyful and it even got colors in some parts, truly magic!",,2022-01-17
2022-01-18,A Terrible Night,1896,https://boxd.it/2uJutD,,,Gregor Samsa says hi,,2022-01-17
2022-01-18,A Serpentine Dance,1896,https://boxd.it/2uJEzV,,,Uau! I’m enchanted by the fluid movement of the dress and the color’s transitions,,2022-01-17
2022-01-18,The Astronomer's Dream,1898,https://boxd.it/2uJJTh,4.5,,Annoying orange + Alice’s cat = La lune by Méliès,,2022-01-17
2022-01-18,A Daring Daylight Burglary,1903,https://boxd.it/2uJSkl,,,"By that time, they were so familiarized with filming trains at stations that they gave us the first chasing scene with an entrance in a moving train.",,2022-01-17
2022-01-18,The Girl and Her Trust,1912,https://boxd.it/2uK55X,,,"Os closes que dão destaque às expressões e a própria atuação dos atores e as técnicas de montagem estão presentes, dando dinamismo ao filme.",,2022-01-17
2022-01-20,Strangers on a Train,1951,https://boxd.it/2v7C5H,4.5,,Uma adaptação do livro <i>Strangers on a train </i>(1950) de Patricia Highsmith. Bruno frio e calculista como diversos personagens masculinos da autora. Fantástica a cena no carrossel!,,2022-01-19
2022-01-20,Notorious,1946,https://boxd.it/2v8LEN,4.5,,"Rio, só aí já me ganhou. Todos os nomes brasileiros corretos, música brasileira na orquestra da festa.",,2022-01-19
2022-01-23,The Royal Treatment,2022,https://boxd.it/2vL4Vf,2,,"Completamente clichê, mas fofo, fazer o quê.",,2022-01-23
2022-01-26,The Human Voice,2020,https://boxd.it/2wm2pF,4,,Meu apartamento dos sonhos ❤️,,2022-01-23
2022-01-26,Sing 2,2021,https://boxd.it/2wm2Ix,3,,Muito mágico o cenário do show,,2022-01-24
